"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","914217477495717889","@ricardorossello ......#FakeNews critics are working overtime, but we're getting great marks from the people that truly matter! 
#PRStrong<U+0001F1F5><U+0001F1F7>","Sat Sep 30 19:56:46 +0000 2017",7855,"25073877",35928,FALSE
"Twitter for iPhone","914217117695795201","My Administration, Governor @RicardoRossello, and many others are working together to help the people of Puerto Rico in every way...","Sat Sep 30 19:55:20 +0000 2017",9861,NA,46164,FALSE
"Twitter for iPhone","914216744385904640","To the people of Puerto Rico:
Do not believe the #FakeNews!
#PRStrong<U+0001F1F5><U+0001F1F7>","Sat Sep 30 19:53:51 +0000 2017",16067,NA,63449,FALSE
"Twitter for iPhone","914214237584674816","Congresswoman Jennifer Gonzalez-Colon of Puerto Rico has been wonderful to deal with and a great representative of the people. Thank you!","Sat Sep 30 19:43:54 +0000 2017",12916,NA,62251,FALSE
"Twitter for iPhone","914210813237489666","Just spoke to Governor Kenneth Mapp of the U.S. Virgin Islands who stated that #FEMA and Military are doing a GREAT job! Thank you Governor!","Sat Sep 30 19:30:17 +0000 2017",13429,NA,60555,FALSE
"Twitter for iPhone","914208123564494850","The Governor of Puerto Rico, Ricardo Rossello, is a great guy and leader who is really working hard. Thank you Ricky!","Sat Sep 30 19:19:36 +0000 2017",14056,NA,66359,FALSE
"Twitter for iPhone","914189344533024768","Despite the Fake News Media in conjunction with the Dems, an amazing job is being done in Puerto Rico. Great people!","Sat Sep 30 18:04:59 +0000 2017",16910,NA,76847,FALSE
"Twitter for iPhone","914099295963553792","The Fake News Networks are working overtime in Puerto Rico doing their best to take the spirit away from our soldiers and first R's. Shame!","Sat Sep 30 12:07:09 +0000 2017",24633,NA,91112,FALSE
"Twitter for iPhone","914096428879933440","I will be going to Puerto Rico on Tuesday with Melania. Will hopefully be able to stop at the U.S. Virgin Islands (people working hard).","Sat Sep 30 11:55:46 +0000 2017",13824,NA,68989,FALSE
"Twitter for iPhone","914094625488502784","Fake News CNN and NBC are going out of their way to disparage our great First Responders as a way to ""get Trump."" Not fair to FR or effort!","Sat Sep 30 11:48:36 +0000 2017",20901,NA,80326,FALSE
"Twitter for iPhone","914092750924128262","RT @FLOTUS: Thank you to all who participated in today's discussion on opioid abuse. By talking about it, we can start to make a real diffe…","Sat Sep 30 11:41:09 +0000 2017",10892,NA,0,TRUE
"Twitter for iPhone","914092638403485696","RT @DeptofDefense: VIDEO: Elements of the #DoD and @FEMA are providing humanitarian relief for #PuertoRico <U+0001F1F5><U+0001F1F7>  and #USVI <U+0001F1FB><U+0001F1EE> . https://t.co/…","Sat Sep 30 11:40:42 +0000 2017",7095,NA,0,TRUE
"Twitter for iPhone","914092399378526209","RT @usairforce: <U+26A1><U+FE0F> “#AirForce relief efforts in #PuertoRico &amp; #VirginIslands”

https://t.co/gonmsZusSe","Sat Sep 30 11:39:45 +0000 2017",7423,NA,0,TRUE
"Twitter for iPhone","914091203855048704","RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…","Sat Sep 30 11:35:00 +0000 2017",8730,NA,0,TRUE
"Twitter for iPhone","914090947180470272","The military and first responders, despite no electric, roads, phones etc., have done an amazing job. Puerto Rico was totally destroyed.","Sat Sep 30 11:33:59 +0000 2017",13685,NA,62065,FALSE
