"word","2013-2016","year","proportion"
"abla",2.25048835597325e-06,"2017-2020",NA
"ablaze",NA,"2017-2020",2.25048835597325e-06
"abnbjtkcai",NA,"2017-2020",2.25048835597325e-06
"abnormally",2.25048835597325e-06,"2017-2020",NA
"abo",NA,"2017-2020",6.75146506791974e-06
"aboard",1.35029301358395e-05,"2017-2020",1.35029301358395e-05
"abolish",1.35029301358395e-05,"2017-2020",7.42661157471171e-05
"abolishice",NA,"2017-2020",2.25048835597325e-06
"abolishing",NA,"2017-2020",1.12524417798662e-05
"abom",NA,"2017-2020",2.25048835597325e-06
"abortion",6.75146506791974e-06,"2017-2020",3.37573253395987e-05
"abou",NA,"2017-2020",1.57534184918127e-05
"aboubacarmande",2.25048835597325e-06,"2017-2020",NA
"abound",NA,"2017-2020",2.25048835597325e-06
"about",6.75146506791974e-06,"2017-2020",NA
"abouttherock",6.75146506791974e-06,"2017-2020",NA
"abqgysdcyt",2.25048835597325e-06,"2017-2020",NA
"abraham",2.92563486276522e-05,"2017-2020",2.92563486276522e-05
"abrahaml",2.25048835597325e-06,"2017-2020",NA
"abrams",NA,"2017-2020",6.75146506791974e-06
"abramson",NA,"2017-2020",4.50097671194649e-06
"abroad",6.75146506791974e-06,"2017-2020",9.00195342389298e-06
"abrupt",NA,"2017-2020",2.25048835597325e-06
"abruptly",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"absabella",2.25048835597325e-06,"2017-2020",NA
"absence",2.25048835597325e-06,"2017-2020",NA
"absentee",6.75146506791974e-06,"2017-2020",7.65166041030904e-05
"absolute",4.50097671194649e-05,"2017-2020",7.20156273911439e-05
"absoluteicon",2.25048835597325e-06,"2017-2020",NA
"absolutely",0.000220547858885378,"2017-2020",0.00024980420751303
"absolutley",2.25048835597325e-06,"2017-2020",NA
"absorb",4.50097671194649e-06,"2017-2020",NA
"abspara",2.25048835597325e-06,"2017-2020",NA
"absurd",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"absurdly",NA,"2017-2020",2.25048835597325e-06
"abt",1.12524417798662e-05,"2017-2020",6.75146506791974e-06
"abtheproducer",2.25048835597325e-06,"2017-2020",NA
"abtlprupej",2.25048835597325e-06,"2017-2020",NA
"abu",6.75146506791974e-06,"2017-2020",1.12524417798662e-05
"abundance",NA,"2017-2020",4.50097671194649e-06
"abundant",2.25048835597325e-06,"2017-2020",NA
"abunnieslife",4.50097671194649e-06,"2017-2020",NA
"abuse",1.35029301358395e-05,"2017-2020",0.000207044928749539
"abused",6.75146506791974e-06,"2017-2020",2.25048835597325e-05
"abuser",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"abusers",4.50097671194649e-06,"2017-2020",NA
"abuses",2.25048835597325e-06,"2017-2020",2.47553719157057e-05
"abusing",NA,"2017-2020",1.57534184918127e-05
"abusive",4.50097671194649e-06,"2017-2020",4.50097671194649e-06
"abuts",NA,"2017-2020",2.25048835597325e-06
"abuzz",NA,"2017-2020",2.25048835597325e-06
"abvxtsjm",NA,"2017-2020",2.25048835597325e-06
"abxvvm",NA,"2017-2020",2.25048835597325e-06
"abyddsldbw",NA,"2017-2020",2.25048835597325e-06
"abysmal",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"abzqr",NA,"2017-2020",2.25048835597325e-06
