"word","2013-2016","year","proportion"
"conversion",6.75146506791974e-06,"2017-2020",NA
"convert",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"converted",NA,"2017-2020",2.25048835597325e-06
"convict",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"convicted",6.75146506791974e-06,"2017-2020",1.8003906847786e-05
"convicting",NA,"2017-2020",2.25048835597325e-06
"conviction",6.75146506791974e-06,"2017-2020",9.00195342389298e-06
"convictions",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"convicts",NA,"2017-2020",2.25048835597325e-06
"convince",1.12524417798662e-05,"2017-2020",1.57534184918127e-05
"convinced",3.15068369836254e-05,"2017-2020",9.00195342389298e-06
"convinces",4.50097671194649e-06,"2017-2020",NA
"convincing",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"convincingly",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"convocation",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"conway",NA,"2017-2020",1.12524417798662e-05
"coo",2.25048835597325e-06,"2017-2020",NA
"cooey",2.25048835597325e-06,"2017-2020",NA
"cook",1.12524417798662e-05,"2017-2020",1.8003906847786e-05
"cooked",1.12524417798662e-05,"2017-2020",4.50097671194649e-06
"cookie",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"cookingdoll",2.25048835597325e-06,"2017-2020",NA
"cookit",2.25048835597325e-06,"2017-2020",NA
"cookvol",2.25048835597325e-06,"2017-2020",NA
"cool",0.000114774906154636,"2017-2020",4.27592787634917e-05
"coolboybrand",4.50097671194649e-06,"2017-2020",NA
"coolcanuckchick",2.25048835597325e-06,"2017-2020",NA
"coolchange",4.50097671194649e-06,"2017-2020",NA
"cooler",2.25048835597325e-06,"2017-2020",NA
"coolest",1.35029301358395e-05,"2017-2020",NA
"cooley",4.50097671194649e-06,"2017-2020",NA
"coolgirl",4.50097671194649e-06,"2017-2020",NA
"coolidge",2.25048835597325e-06,"2017-2020",NA
"cooling",6.75146506791974e-06,"2017-2020",NA
"coolioneal",2.25048835597325e-06,"2017-2020",NA
"coollikeelvis",2.25048835597325e-06,"2017-2020",NA
"coollukehh",2.25048835597325e-06,"2017-2020",NA
"coolness",2.25048835597325e-06,"2017-2020",NA
"coolwillie",2.25048835597325e-06,"2017-2020",NA
"coolz",2.25048835597325e-06,"2017-2020",NA
"coons",NA,"2017-2020",4.50097671194649e-06
"coop",NA,"2017-2020",2.25048835597325e-06
"cooper",1.12524417798662e-05,"2017-2020",1.35029301358395e-05
"coopera",NA,"2017-2020",2.25048835597325e-06
"cooperate",NA,"2017-2020",1.57534184918127e-05
"cooperated",NA,"2017-2020",4.50097671194649e-06
"cooperating",NA,"2017-2020",2.25048835597325e-06
"cooperation",NA,"2017-2020",3.82583020515452e-05
"cooperative",NA,"2017-2020",6.75146506791974e-06
"coordinat",NA,"2017-2020",2.25048835597325e-06
"coordinate",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"coordinated",2.25048835597325e-06,"2017-2020",2.7005860271679e-05
"coordinating",NA,"2017-2020",6.75146506791974e-06
"coordinatio",NA,"2017-2020",2.25048835597325e-06
"coordination",NA,"2017-2020",3.15068369836254e-05
"coore",2.25048835597325e-06,"2017-2020",NA
"cop",2.25048835597325e-06,"2017-2020",4.05087904075184e-05
"copay",NA,"2017-2020",2.25048835597325e-06
"cope",NA,"2017-2020",2.25048835597325e-06
"copied",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"copies",3.60078136955719e-05,"2017-2020",2.25048835597325e-06
"coping",NA,"2017-2020",2.25048835597325e-06
"copious",NA,"2017-2020",4.50097671194649e-06
"copolitics",NA,"2017-2020",2.25048835597325e-06
"coppins",1.12524417798662e-05,"2017-2020",NA
"coppola",2.25048835597325e-06,"2017-2020",NA
"cops",4.50097671194649e-06,"2017-2020",5.62622088993312e-05
"copsfortrump",NA,"2017-2020",2.25048835597325e-06
"copvxnn",NA,"2017-2020",2.25048835597325e-06
"copy",4.05087904075184e-05,"2017-2020",5.40117205433579e-05
"copying",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"copyover",2.25048835597325e-06,"2017-2020",NA
"copyright",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"cor",NA,"2017-2020",4.50097671194649e-06
"coralville",4.50097671194649e-06,"2017-2020",NA
"corbett",2.25048835597325e-06,"2017-2020",NA
"corbyn",NA,"2017-2020",2.25048835597325e-06
"cord",2.25048835597325e-06,"2017-2020",NA
"cordial",NA,"2017-2020",4.50097671194649e-06
"cordizzzle",2.25048835597325e-06,"2017-2020",NA
"cordray",NA,"2017-2020",4.50097671194649e-06
"core",6.97651390351706e-05,"2017-2020",2.02543952037592e-05
"cored",NA,"2017-2020",2.25048835597325e-06
"coren",2.25048835597325e-06,"2017-2020",NA
"corey",6.75146506791974e-06,"2017-2020",2.92563486276522e-05
"coreykotowski",2.25048835597325e-06,"2017-2020",NA
"coreymccrack",2.25048835597325e-06,"2017-2020",NA
"coreystewartva",NA,"2017-2020",6.75146506791974e-06
"corke",NA,"2017-2020",2.25048835597325e-06
"corker",2.25048835597325e-06,"2017-2020",3.60078136955719e-05
"corky",NA,"2017-2020",6.75146506791974e-06
"corkyforsenate",NA,"2017-2020",1.35029301358395e-05
"corn",NA,"2017-2020",4.50097671194649e-06
"cornel",2.25048835597325e-06,"2017-2020",NA
"corner",1.35029301358395e-05,"2017-2020",1.57534184918127e-05
"corners",4.50097671194649e-06,"2017-2020",NA
"cornerstone",NA,"2017-2020",2.25048835597325e-06
"corning",NA,"2017-2020",2.25048835597325e-06
"cornwall",NA,"2017-2020",9.00195342389298e-06
"cornwhisky",2.25048835597325e-06,"2017-2020",NA
"cornyn",NA,"2017-2020",4.50097671194649e-06
"coro",NA,"2017-2020",2.25048835597325e-06
"corolla",NA,"2017-2020",2.25048835597325e-06
"corolla's",2.25048835597325e-06,"2017-2020",NA
"coron",NA,"2017-2020",4.50097671194649e-06
"corona",NA,"2017-2020",9.00195342389298e-06
"coronav",NA,"2017-2020",4.50097671194649e-06
"coronavi",NA,"2017-2020",4.50097671194649e-06
"coronavirus",NA,"2017-2020",0.000735909692403251
"corp",4.50097671194649e-06,"2017-2020",NA
"corporate",2.47553719157057e-05,"2017-2020",2.02543952037592e-05
"corporation",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"corporations",2.25048835597325e-06,"2017-2020",1.8003906847786e-05
"corps",6.75146506791974e-06,"2017-2020",2.02543952037592e-05
"corpse",NA,"2017-2020",2.25048835597325e-06
"corpus",NA,"2017-2020",2.25048835597325e-06
"corr",NA,"2017-2020",4.50097671194649e-06
"correct",0.00017328760340994,"2017-2020",0.000193541998613699
"corrected",6.75146506791974e-06,"2017-2020",6.75146506791974e-06
"correcting",NA,"2017-2020",4.50097671194649e-06
"correction",NA,"2017-2020",9.00195342389298e-06
"corrections",2.25048835597325e-06,"2017-2020",NA
"corrective",NA,"2017-2020",2.25048835597325e-06
"correctly",1.35029301358395e-05,"2017-2020",2.7005860271679e-05
"correctness",9.00195342389298e-06,"2017-2020",6.75146506791974e-06
"corrects",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"correspondent",NA,"2017-2020",2.25048835597325e-06
"correspondents",4.50097671194649e-06,"2017-2020",1.8003906847786e-05
"corridor",NA,"2017-2020",1.12524417798662e-05
"corrinrankin",NA,"2017-2020",2.25048835597325e-06
"corroborated",NA,"2017-2020",2.25048835597325e-06
"corroborates",NA,"2017-2020",2.25048835597325e-06
"corroborating",NA,"2017-2020",2.25048835597325e-06
"corrugated",NA,"2017-2020",2.25048835597325e-06
"corrup",NA,"2017-2020",4.50097671194649e-06
"corrupt",8.55185575269834e-05,"2017-2020",0.000697651390351706
"corrupted",6.75146506791974e-06,"2017-2020",9.00195342389298e-06
"corrupthillary",2.25048835597325e-06,"2017-2020",NA
"corruption",3.82583020515452e-05,"2017-2020",0.000252054695869004
"corruptly",NA,"2017-2020",2.25048835597325e-06
"corruptocrat",NA,"2017-2020",2.25048835597325e-06
"corrynmb",NA,"2017-2020",2.25048835597325e-06
"corsi",NA,"2017-2020",9.00195342389298e-06
"corsoc",2.25048835597325e-06,"2017-2020",NA
"cortapjq",NA,"2017-2020",2.25048835597325e-06
"corte",2.25048835597325e-06,"2017-2020",NA
"cortessteve",NA,"2017-2020",1.8003906847786e-05
"cortez",NA,"2017-2020",1.35029301358395e-05
"cortneykahrs",2.25048835597325e-06,"2017-2020",NA
"cortuption",NA,"2017-2020",2.25048835597325e-06
"coruption",2.25048835597325e-06,"2017-2020",NA
"cory",9.00195342389298e-06,"2017-2020",1.8003906847786e-05
"corybooker",NA,"2017-2020",4.50097671194649e-06
"corygardner",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"corymacrae",2.25048835597325e-06,"2017-2020",NA
"corzine",6.75146506791974e-06,"2017-2020",NA
"cos",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"cosas",2.25048835597325e-06,"2017-2020",NA
"cosby",9.00195342389298e-06,"2017-2020",NA
"cosclubofphila",2.25048835597325e-06,"2017-2020",NA
"cosen",NA,"2017-2020",4.50097671194649e-06
"cosg",NA,"2017-2020",2.25048835597325e-06
"cosmically",NA,"2017-2020",2.25048835597325e-06
"cosmicshiftbar",2.25048835597325e-06,"2017-2020",NA
"cosmo",2.25048835597325e-06,"2017-2020",NA
"cosmopolitan",2.25048835597325e-06,"2017-2020",NA
"cosmostickets",2.25048835597325e-06,"2017-2020",NA
"cosponsor",NA,"2017-2020",4.50097671194649e-06
"cospy",2.25048835597325e-06,"2017-2020",NA
"cost",0.000103522464374769,"2017-2020",0.000204794440393565
"costa",9.00195342389298e-06,"2017-2020",2.25048835597325e-06
"costakenneth",2.25048835597325e-06,"2017-2020",NA
"costal",2.25048835597325e-06,"2017-2020",NA
"costareports",4.50097671194649e-06,"2017-2020",NA
"costas",2.25048835597325e-06,"2017-2020",NA
"costing",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"costly",1.35029301358395e-05,"2017-2020",4.95107438314114e-05
"costs",4.27592787634917e-05,"2017-2020",8.77690458829566e-05
"costume",1.57534184918127e-05,"2017-2020",NA
"costumer",4.50097671194649e-06,"2017-2020",NA
"cosumer",NA,"2017-2020",2.25048835597325e-06
"cota",2.25048835597325e-06,"2017-2020",NA
"coteter",2.25048835597325e-06,"2017-2020",NA
"cothsixavj",2.25048835597325e-06,"2017-2020",NA
"cott",2.25048835597325e-06,"2017-2020",NA
"cottensj",NA,"2017-2020",2.25048835597325e-06
"cotton",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"cotyybaby",2.25048835597325e-06,"2017-2020",NA
"cou",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"couch",2.25048835597325e-06,"2017-2020",NA
"couched",NA,"2017-2020",2.25048835597325e-06
"coug",NA,"2017-2020",2.25048835597325e-06
"cougar",2.25048835597325e-06,"2017-2020",NA
"cougartrace",2.25048835597325e-06,"2017-2020",NA
"cough",9.00195342389298e-06,"2017-2020",NA
"coughing",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"coughlin",2.25048835597325e-06,"2017-2020",NA
"coughs",NA,"2017-2020",2.25048835597325e-06
"cought",NA,"2017-2020",2.25048835597325e-06
"could've",2.25048835597325e-06,"2017-2020",NA
"couldn",1.57534184918127e-05,"2017-2020",0.00016653613834202
"couldyoudoit",2.25048835597325e-06,"2017-2020",NA
"coulter",2.25048835597325e-06,"2017-2020",NA
"coumo",NA,"2017-2020",4.50097671194649e-06
"coun",NA,"2017-2020",9.00195342389298e-06
"councel",NA,"2017-2020",3.60078136955719e-05
"council",3.82583020515452e-05,"2017-2020",9.00195342389298e-05
"council's",NA,"2017-2020",2.25048835597325e-06
"councilman",NA,"2017-2020",2.25048835597325e-06
"councilmen",NA,"2017-2020",2.25048835597325e-06
"councils",NA,"2017-2020",2.25048835597325e-06
"counsel",6.75146506791974e-06,"2017-2020",0.000139530278070341
"counsel's",NA,"2017-2020",2.25048835597325e-06
"counselor",2.25048835597325e-06,"2017-2020",NA
"counsels",NA,"2017-2020",2.25048835597325e-06
"count",4.05087904075184e-05,"2017-2020",6.30136739672509e-05
"countdown",2.25048835597325e-06,"2017-2020",NA
"counted",NA,"2017-2020",3.15068369836254e-05
"counter",6.75146506791974e-06,"2017-2020",4.95107438314114e-05
"counterattack",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"counterfeit",NA,"2017-2020",4.50097671194649e-06
"counterfeits",NA,"2017-2020",2.25048835597325e-06
"countering",NA,"2017-2020",4.50097671194649e-06
"counterintelligence",NA,"2017-2020",4.50097671194649e-06
"counterpart",NA,"2017-2020",2.25048835597325e-06
"counterparts",NA,"2017-2020",2.25048835597325e-06
"counterproductive",NA,"2017-2020",2.25048835597325e-06
"counters",2.25048835597325e-06,"2017-2020",NA
"counterterrorism",NA,"2017-2020",4.50097671194649e-06
"counties",4.50097671194649e-06,"2017-2020",2.7005860271679e-05
"counting",2.7005860271679e-05,"2017-2020",2.7005860271679e-05
"countless",2.25048835597325e-06,"2017-2020",2.25048835597325e-05
"countontrump",2.25048835597325e-06,"2017-2020",NA
"countr",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"countri",NA,"2017-2020",2.25048835597325e-06
"countries",0.000128277836290475,"2017-2020",0.000648140646520295
"countrty",NA,"2017-2020",2.25048835597325e-06
"country",0.0019939326833923,"2017-2020",0.00302240586207207
"country's",3.60078136955719e-05,"2017-2020",4.50097671194649e-06
"countrygurl",2.25048835597325e-06,"2017-2020",NA
"countryside",4.50097671194649e-06,"2017-2020",NA
"countrywide",NA,"2017-2020",2.25048835597325e-06
"counts",2.92563486276522e-05,"2017-2020",1.8003906847786e-05
"county",0.000101271976018796,"2017-2020",0.000103522464374769
"counyry",NA,"2017-2020",2.25048835597325e-06
"coup",4.50097671194649e-06,"2017-2020",0.000126027347934502
"couple",5.17612321873847e-05,"2017-2020",4.27592787634917e-05
"coupled",NA,"2017-2020",4.50097671194649e-06
"cour",NA,"2017-2020",4.50097671194649e-06
"courage",7.42661157471171e-05,"2017-2020",9.22700225949031e-05
"courageou",NA,"2017-2020",2.25048835597325e-06
"courageous",1.12524417798662e-05,"2017-2020",5.40117205433579e-05
"couragious",2.25048835597325e-06,"2017-2020",NA
"courant",2.25048835597325e-06,"2017-2020",NA
"couric",2.25048835597325e-06,"2017-2020",NA
"course",2.25048835597325e-06,"2017-2020",NA
"courses",0.000139530278070341,"2017-2020",1.12524417798662e-05
"court",7.65166041030904e-05,"2017-2020",0.000814676784862315
"court's",2.25048835597325e-06,"2017-2020",NA
"courtesty",NA,"2017-2020",2.25048835597325e-06
"courtesy",4.50097671194649e-06,"2017-2020",1.12524417798662e-05
"courthouse",2.25048835597325e-06,"2017-2020",2.02543952037592e-05
"courthouses",NA,"2017-2020",2.25048835597325e-06
"courtmarshal",2.25048835597325e-06,"2017-2020",NA
"courtney",2.25048835597325e-06,"2017-2020",NA
"courtneyymorgan",2.25048835597325e-06,"2017-2020",NA
"courts",1.57534184918127e-05,"2017-2020",9.22700225949031e-05
"courtside",2.25048835597325e-06,"2017-2020",NA
"cous",2.25048835597325e-06,"2017-2020",NA
"couses",2.25048835597325e-06,"2017-2020",NA
"cousin",6.75146506791974e-06,"2017-2020",NA
"cousins",4.50097671194649e-06,"2017-2020",NA
"cousy",NA,"2017-2020",1.35029301358395e-05
"couture",2.25048835597325e-06,"2017-2020",NA
"couuhhu",NA,"2017-2020",2.25048835597325e-06
"cover",0.000101271976018796,"2017-2020",0.000121526371222555
"coverage",3.37573253395987e-05,"2017-2020",0.000128277836290475
"coverallpads",2.25048835597325e-06,"2017-2020",NA
"covered",2.02543952037592e-05,"2017-2020",7.42661157471171e-05
"covering",1.8003906847786e-05,"2017-2020",5.85126972553044e-05
"coverings",NA,"2017-2020",2.25048835597325e-06
"covers",1.35029301358395e-05,"2017-2020",2.25048835597325e-05
"coverup",2.25048835597325e-06,"2017-2020",1.35029301358395e-05
"coveted",2.25048835597325e-06,"2017-2020",NA
"covey",2.25048835597325e-06,"2017-2020",NA
"covfefe",NA,"2017-2020",4.50097671194649e-06
"covi",NA,"2017-2020",4.50097671194649e-06
"covid",NA,"2017-2020",0.000481604508178275
"covidview",NA,"2017-2020",4.50097671194649e-06
"covington",NA,"2017-2020",9.00195342389298e-06
"cow",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"cowan",2.25048835597325e-06,"2017-2020",NA
"coward",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"cowardice",NA,"2017-2020",1.12524417798662e-05
"cowardinchief",2.25048835597325e-06,"2017-2020",NA
"cowardly",NA,"2017-2020",6.75146506791974e-06
"cowards",1.35029301358395e-05,"2017-2020",1.35029301358395e-05
"cowboy",4.50097671194649e-06,"2017-2020",4.50097671194649e-06
"cowboys",4.50097671194649e-06,"2017-2020",6.75146506791974e-06
"cowboysfortrump",2.25048835597325e-06,"2017-2020",NA
"cower",4.50097671194649e-06,"2017-2020",NA
"cowered",2.25048835597325e-06,"2017-2020",NA
"cowers",NA,"2017-2020",2.25048835597325e-06
"cowomp",NA,"2017-2020",2.25048835597325e-06
"cowpokes",2.25048835597325e-06,"2017-2020",NA
"cows",NA,"2017-2020",6.75146506791974e-06
"cowvrmkn",NA,"2017-2020",2.25048835597325e-06
"cox",1.12524417798662e-05,"2017-2020",1.57534184918127e-05
"coxdanimal",2.25048835597325e-06,"2017-2020",NA
"coxej",2.25048835597325e-06,"2017-2020",NA
"coximus",2.25048835597325e-06,"2017-2020",NA
"coxsam",2.25048835597325e-06,"2017-2020",NA
"coyotes",NA,"2017-2020",1.12524417798662e-05
"coz",4.50097671194649e-06,"2017-2020",NA
"cozcwtsrfh",2.25048835597325e-06,"2017-2020",NA
"cozqnt",2.25048835597325e-06,"2017-2020",NA
"coztrumptowersisthebest",2.25048835597325e-06,"2017-2020",NA
"cp",4.50097671194649e-06,"2017-2020",1.35029301358395e-05
"cpac",0.000128277836290475,"2017-2020",4.05087904075184e-05
"cpacdean",2.25048835597325e-06,"2017-2020",NA
"cpacnews",5.17612321873847e-05,"2017-2020",NA
"cpartridge",2.25048835597325e-06,"2017-2020",NA
"cpauxv",NA,"2017-2020",2.25048835597325e-06
"cpcoasterguy",2.25048835597325e-06,"2017-2020",NA
"cpdo",2.25048835597325e-06,"2017-2020",NA
"cpetelis",4.50097671194649e-06,"2017-2020",NA
"cpf",NA,"2017-2020",2.25048835597325e-06
"cpgdlnyxrp",NA,"2017-2020",2.25048835597325e-06
"cph",NA,"2017-2020",4.50097671194649e-06
"cphily",2.25048835597325e-06,"2017-2020",NA
"cpi",NA,"2017-2020",2.25048835597325e-06
"cpil",NA,"2017-2020",2.25048835597325e-06
"cpjdxq",NA,"2017-2020",2.25048835597325e-06
"cpnuzjqb",NA,"2017-2020",4.50097671194649e-06
"cpo",2.25048835597325e-06,"2017-2020",NA
"cpokmt",2.25048835597325e-06,"2017-2020",NA
"cpow",2.25048835597325e-06,"2017-2020",NA
"cpqrdcd",NA,"2017-2020",2.25048835597325e-06
"cps",2.25048835597325e-06,"2017-2020",NA
"cpsmxs",2.25048835597325e-06,"2017-2020",NA
"cptbazbv",2.25048835597325e-06,"2017-2020",NA
"cptnloco",2.25048835597325e-06,"2017-2020",NA
"cptomfmxp",NA,"2017-2020",2.25048835597325e-06
"cpu",2.25048835597325e-06,"2017-2020",NA
"cpw",4.50097671194649e-06,"2017-2020",NA
"cpxcjotha",NA,"2017-2020",2.25048835597325e-06
"cq",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"cqa",NA,"2017-2020",2.25048835597325e-06
"cqdmqxsxh",NA,"2017-2020",2.25048835597325e-06
"cqexufsjd",NA,"2017-2020",2.25048835597325e-06
"cqfetszrrb",NA,"2017-2020",2.25048835597325e-06
"cqhkwjcjnm",NA,"2017-2020",2.25048835597325e-06
"cqi",NA,"2017-2020",2.25048835597325e-06
"cqixfuhhpp",NA,"2017-2020",2.25048835597325e-06
"cqjtfbnmvy",NA,"2017-2020",2.25048835597325e-06
"cqms",NA,"2017-2020",2.25048835597325e-06
"cqnow",NA,"2017-2020",2.25048835597325e-06
"cqo",NA,"2017-2020",2.25048835597325e-06
"cqt",2.25048835597325e-06,"2017-2020",NA
"cqtso",2.25048835597325e-06,"2017-2020",NA
"cr",4.50097671194649e-06,"2017-2020",3.37573253395987e-05
"crack",4.50097671194649e-06,"2017-2020",NA
"crackdown",NA,"2017-2020",6.75146506791974e-06
"cracked",NA,"2017-2020",2.25048835597325e-06
"cracker",NA,"2017-2020",2.25048835597325e-06
"cracking",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"crackmacs",2.25048835597325e-06,"2017-2020",NA
"cracks",4.50097671194649e-06,"2017-2020",4.50097671194649e-06
"crackup",NA,"2017-2020",2.25048835597325e-06
"craddick",NA,"2017-2020",2.25048835597325e-06
"cradling",NA,"2017-2020",2.25048835597325e-06
"craft",NA,"2017-2020",1.12524417798662e-05
"crafted",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"crafting",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"craftmonroe",6.75146506791974e-06,"2017-2020",NA
"crafts",NA,"2017-2020",6.75146506791974e-06
"craftsmanshi",NA,"2017-2020",2.25048835597325e-06
"craig",1.8003906847786e-05,"2017-2020",6.75146506791974e-06
"craigashwood",2.25048835597325e-06,"2017-2020",NA
"craigbbannister",2.25048835597325e-06,"2017-2020",NA
"craigcaplan",NA,"2017-2020",2.25048835597325e-06
"craigdevlin",9.00195342389298e-06,"2017-2020",NA
"craigheff",2.25048835597325e-06,"2017-2020",NA
"craighume",2.25048835597325e-06,"2017-2020",NA
"craigkotter",2.25048835597325e-06,"2017-2020",NA
"craigmacwilson",2.25048835597325e-06,"2017-2020",NA
"craigporritt",2.25048835597325e-06,"2017-2020",NA
"craigsj",2.25048835597325e-06,"2017-2020",NA
"crainey",2.25048835597325e-06,"2017-2020",NA
"crainschicago",9.00195342389298e-06,"2017-2020",NA
"crainsdetroit",2.25048835597325e-06,"2017-2020",NA
"cramer",NA,"2017-2020",6.75146506791974e-06
"crandon",2.25048835597325e-06,"2017-2020",NA
"crank",2.25048835597325e-06,"2017-2020",NA
"cranked",4.50097671194649e-06,"2017-2020",NA
"cranks",NA,"2017-2020",2.25048835597325e-06
"craozip",2.25048835597325e-06,"2017-2020",NA
"crap",2.7005860271679e-05,"2017-2020",6.75146506791974e-06
"crapo",NA,"2017-2020",2.25048835597325e-06
"craryjohn",2.25048835597325e-06,"2017-2020",NA
"crash",2.47553719157057e-05,"2017-2020",6.07631856112777e-05
"crashed",1.12524417798662e-05,"2017-2020",1.12524417798662e-05
"crashes",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"crashing",6.75146506791974e-06,"2017-2020",9.00195342389298e-06
"cratered",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"crayon",2.25048835597325e-06,"2017-2020",NA
"crazed",NA,"2017-2020",4.72602554754382e-05
"crazier",NA,"2017-2020",6.75146506791974e-06
"crazies",4.50097671194649e-06,"2017-2020",4.50097671194649e-06
"craziest",2.25048835597325e-06,"2017-2020",NA
"craziness",NA,"2017-2020",4.50097671194649e-06
"crazy",0.000168786626697993,"2017-2020",0.000495107438314114
"crazycatkid",2.25048835597325e-06,"2017-2020",NA
"crazygreentiger",2.25048835597325e-06,"2017-2020",NA
"crazyjwd",2.25048835597325e-06,"2017-2020",NA
"crazymamaa",1.12524417798662e-05,"2017-2020",NA
"crazytown",NA,"2017-2020",2.25048835597325e-06
"crcalderwood",2.25048835597325e-06,"2017-2020",NA
"crconnections",2.25048835597325e-06,"2017-2020",NA
"crdamnvuv",NA,"2017-2020",2.25048835597325e-06
"crea",NA,"2017-2020",2.25048835597325e-06
"cream",6.75146506791974e-06,"2017-2020",2.25048835597325e-06
"create",0.000121526371222555,"2017-2020",0.000123776859578529
"created",7.42661157471171e-05,"2017-2020",0.0001597846732741
"creates",1.57534184918127e-05,"2017-2020",2.25048835597325e-05
"creati",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"creating",4.27592787634917e-05,"2017-2020",5.85126972553044e-05
"creation",9.00195342389298e-06,"2017-2020",2.02543952037592e-05
"creative",2.7005860271679e-05,"2017-2020",2.25048835597325e-06
"creativexwalk",2.25048835597325e-06,"2017-2020",NA
"creativity",6.75146506791974e-06,"2017-2020",NA
"creator",9.00195342389298e-06,"2017-2020",9.00195342389298e-06
"creators",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"creats",2.25048835597325e-06,"2017-2020",NA
"creature",NA,"2017-2020",4.50097671194649e-06
"creatures",NA,"2017-2020",2.25048835597325e-06
"cred",9.00195342389298e-06,"2017-2020",2.25048835597325e-06
"credence",NA,"2017-2020",4.50097671194649e-06
"credential",2.25048835597325e-06,"2017-2020",NA
"credentialed",NA,"2017-2020",2.25048835597325e-06
"credentials",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"credibility",6.30136739672509e-05,"2017-2020",0.000137279789714368
"credible",1.12524417798662e-05,"2017-2020",1.35029301358395e-05
"credico's",NA,"2017-2020",2.25048835597325e-06
"credit",0.000114774906154636,"2017-2020",0.000130528324646448
"credited",NA,"2017-2020",4.50097671194649e-06
"credits",6.75146506791974e-06,"2017-2020",6.75146506791974e-06
"credo",2.25048835597325e-06,"2017-2020",NA
"credulous",NA,"2017-2020",2.25048835597325e-06
"creed",NA,"2017-2020",1.57534184918127e-05
"creek",NA,"2017-2020",2.25048835597325e-06
"creelken",2.25048835597325e-06,"2017-2020",NA
"creep",NA,"2017-2020",6.75146506791974e-06
"creeps",2.25048835597325e-06,"2017-2020",NA
"creepster",NA,"2017-2020",2.25048835597325e-06
"creepy",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"creeutiful",2.25048835597325e-06,"2017-2020",NA
"cregfhwlbe",2.25048835597325e-06,"2017-2020",NA
"crenpolitics",2.25048835597325e-06,"2017-2020",NA
"crenshaw",2.25048835597325e-06,"2017-2020",NA
"creta",4.50097671194649e-06,"2017-2020",NA
"crew",4.50097671194649e-06,"2017-2020",3.15068369836254e-05
"crews",NA,"2017-2020",9.00195342389298e-06
"crewsawyer",4.50097671194649e-06,"2017-2020",NA
"crexoml",NA,"2017-2020",2.25048835597325e-06
"cricket",NA,"2017-2020",4.50097671194649e-06
"cried",4.50097671194649e-06,"2017-2020",6.75146506791974e-06
"cries",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"crim",NA,"2017-2020",4.50097671194649e-06
"crime",9.90214876628228e-05,"2017-2020",0.00117025394510609
"crimea",1.12524417798662e-05,"2017-2020",1.12524417798662e-05
"crimes",1.12524417798662e-05,"2017-2020",0.000182289556833833
"crimi",NA,"2017-2020",2.25048835597325e-06
"crimina",NA,"2017-2020",4.50097671194649e-06
"criminal",4.27592787634917e-05,"2017-2020",0.000261056649292897
"criminality",NA,"2017-2020",9.00195342389298e-06
"criminalization",NA,"2017-2020",2.25048835597325e-06
"criminalize",NA,"2017-2020",2.25048835597325e-06
"criminally",NA,"2017-2020",2.25048835597325e-06
"criminals",4.05087904075184e-05,"2017-2020",0.000128277836290475
"crimmsnchin",4.50097671194649e-06,"2017-2020",NA
"crimson",NA,"2017-2020",2.25048835597325e-06
"cringe",2.25048835597325e-06,"2017-2020",NA
"cringing",2.25048835597325e-06,"2017-2020",NA
"crinqc",4.50097671194649e-06,"2017-2020",NA
"cripple",NA,"2017-2020",2.25048835597325e-06
"cripplecreek",2.25048835597325e-06,"2017-2020",NA
"crippled",7.20156273911439e-05,"2017-2020",NA
"crippledamerica",2.02543952037592e-05,"2017-2020",NA
"crippling",NA,"2017-2020",2.25048835597325e-06
"criscarter",2.25048835597325e-06,"2017-2020",NA
